"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"210","Anxiety Disorders (SNOMED & ICD)","1568222","F40.0","Agoraphobia","4-char nonbill code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","1410424","F40.0","Agoraphobia","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","1410470","F40.000","Agoraphobia","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","45557204","F40.0","Agoraphobia","ICD10 code","Condition","ICD10"
"210","Anxiety Disorders (SNOMED & ICD)","45552480","F40.00","Agoraphobia, unspecified","5-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","44826507","300.22","Agoraphobia without mention of panic attacks","5-dig billing code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","45542847","F40.02","Agoraphobia without panic disorder","5-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45581459","F40.01","Agoraphobia with panic disorder","5-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","44827661","300.21","Agoraphobia with panic disorder","5-dig billing code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","45600693","F10.180","Alcohol abuse with alcohol-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45566777","F10.280","Alcohol dependence with alcohol-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45566781","F10.980","Alcohol use, unspecified with alcohol-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","35207120","F06.4","Anxiety disorder due to known physiological condition","4-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","44821812","293.84","Anxiety disorder in conditions classified elsewhere","5-dig billing code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","1410725","F41.9","Anxiety disorder, unspecified","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","35207173","F41.9","Anxiety disorder, unspecified","4-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45542849","F41.9","Anxiety disorder, unspecified","ICD10 code","Condition","ICD10"
"210","Anxiety Disorders (SNOMED & ICD)","1410726","F41.900","Anxiety disorder, unspecified","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","44836970","300","Anxiety, dissociative and somatoform disorders","3-dig nonbill code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","1410716","F41.101","Anxiety (machine translation)","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","1410717","F41.102","Anxiety neurosis (machine translation)","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","44820725","300.0","Anxiety states","4-dig nonbill code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","44832239","300.00","Anxiety state, unspecified","5-dig billing code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","1410709","F40.901","A state of terror (machine translation)","ICD10 code","Condition","ICD10CN"
"210","Anxiety Disorders (SNOMED & ICD)","45533069","F12.180","Cannabis abuse with cannabis-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45595860","F12.280","Cannabis dependence with cannabis-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45581417","F12.980","Cannabis use, unspecified with anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45595872","F14.180","Cocaine abuse with cocaine-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45538033","F14.280","Cocaine dependence with cocaine-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","45586208","F14.980","Cocaine use, unspecified with cocaine-induced anxiety disorder","6-char billing code","Condition","ICD10CM"
"210","Anxiety Disorders (SNOMED & ICD)","44829926","300.02","Generalized anxiety disorder","5-dig billing code","Condition","ICD9CM"
"210","Anxiety Disorders (SNOMED & ICD)","1410715","F41.100","Generalized anxiety disorder","ICD10 code","Condition","ICD10CN"
