"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45571754","F31.2","Bipolar affective disorder, current episode manic with psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45586236","F31.5","Bipolar affective disorder, current episode severe depression with psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45581457","F31.7","Bipolar affective disorder, currently in remission","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45586237","F31.8","Other bipolar affective disorders","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45571758","F31.9","Bipolar affective disorder, unspecified","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45547701","F30","Manic episode","ICD10 Hierarchy","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45571757","F31.6","Bipolar affective disorder, current episode mixed","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45557199","F30.2","Mania with psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45542840","F31.0","Bipolar affective disorder, current episode hypomanic","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45595902","F31","Bipolar affective disorder","ICD10 Hierarchy","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45581456","F31.4","Bipolar affective disorder, current episode severe depression without psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45576536","F30.8","Other manic episodes","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45562043","F34.0","Cyclothymia","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45571755","F31.3","Bipolar affective disorder, current episode mild or moderate depression","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45576537","F31.1","Bipolar affective disorder, current episode manic without psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45591133","F30.1","Mania without psychotic symptoms","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45547702","F30.0","Hypomania","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","45600738","F30.9","Manic episode, unspecified","ICD10 code","Condition","ICD10"
"219","Bipolar & Related Disorders (SNOMED & ICD)","1568215","F31.7","Bipolar disorder, currently in remission","4-char nonbill code","Condition","ICD10CM"
"219","Bipolar & Related Disorders (SNOMED & ICD)","1568211","F31","Bipolar disorder","3-char nonbill code","Condition","ICD10CM"
"219","Bipolar & Related Disorders (SNOMED & ICD)","35207144","F30.9","Manic episode, unspecified","4-char billing code","Condition","ICD10CM"
