"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"209","Depressive Disorders (SNOMED & ICD)","1410659","F32.802","Atypical depression (machine translation)","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44832235","296.82","Atypical depressive disorder","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410662","F32.901","Depression (machine translation)","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44833421","311","Depressive disorder, not elsewhere classified","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45595904","F32","Depressive episode","Condition","ICD10","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410646","F32","Depressive episode","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410660","F32.9","Depressive episode, unspecified","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45571760","F32.9","Depressive episode, unspecified","Condition","ICD10","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410661","F32.900","Depressive episode, unspecified","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","37200321","F34.81","Disruptive mood dysregulation disorder","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410685","F34.100","Dysthymia","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45586238","F34.1","Dysthymia","Condition","ICD10","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410684","F34.1","Dysthymia","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207163","F34.1","Dysthymic disorder","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44836972","300.4","Dysthymic disorder","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44827656","296.36","Major depressive affective disorder, recurrent episode, in full remission","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44834589","296.35","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44829923","296.31","Major depressive affective disorder, recurrent episode, mild","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44831090","296.32","Major depressive affective disorder, recurrent episode, moderate","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44827655","296.34","Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44835785","296.33","Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44831089","296.30","Major depressive affective disorder, recurrent episode, unspecified","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44832232","296.26","Major depressive affective disorder, single episode, in full remission","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44822976","296.25","Major depressive affective disorder, single episode, in partial or unspecified remission","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44824114","296.21","Major depressive affective disorder, single episode, mild","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44827654","296.22","Major depressive affective disorder, single episode, moderate","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44820717","296.24","Major depressive affective disorder, single episode, severe, specified as with psychotic behavior","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44835784","296.23","Major depressive affective disorder, single episode, severe, without mention of psychotic behavior","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44822975","296.20","Major depressive affective disorder, single episode, unspecified","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1568218","F33","Major depressive disorder, recurrent","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44825293","296.3","Major depressive disorder, recurrent episode","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45571761","F33.42","Major depressive disorder, recurrent, in full remission","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45552479","F33.41","Major depressive disorder, recurrent, in partial remission","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1568219","F33.4","Major depressive disorder, recurrent, in remission","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45547706","F33.40","Major depressive disorder, recurrent, in remission, unspecified","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207156","F33.0","Major depressive disorder, recurrent, mild","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207157","F33.1","Major depressive disorder, recurrent, moderate","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207158","F33.2","Major depressive disorder, recurrent severe without psychotic features","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207159","F33.3","Major depressive disorder, recurrent, severe with psychotic symptoms","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207161","F33.9","Major depressive disorder, recurrent, unspecified","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","44821821","296.2","Major depressive disorder, single episode","Condition","ICD9CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1568217","F32","Major depressive disorder, single episode","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45547704","F32.5","Major depressive disorder, single episode, in full remission","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45576541","F32.4","Major depressive disorder, single episode, in partial remission","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207150","F32.0","Major depressive disorder, single episode, mild","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207151","F32.1","Major depressive disorder, single episode, moderate","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207152","F32.2","Major depressive disorder, single episode, severe without psychotic features","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207153","F32.3","Major depressive disorder, single episode, severe with psychotic features","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207155","F32.9","Major depressive disorder, single episode, unspecified","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410658","F32.801","Menopause depression (machine translation)","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45562041","F32.0","Mild depressive episode","Condition","ICD10","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410647","F32.0","Mild depressive episode","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410648","F32.000","Mild depressive episode","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410649","F32.1","Moderate depressive episode","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410650","F32.100","Moderate depressive episode","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45552478","F32.1","Moderate depressive episode","Condition","ICD10","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45561998","F06.31","Mood disorder due to known physiological condition with depressive features","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45581399","F06.32","Mood disorder due to known physiological condition with major depressive-like episode","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","1410686","F34.101","Neurotic depression (machine translation)","Condition","ICD10CN","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","35207154","F32.8","Other depressive episodes","Condition","ICD10CM","N","false","false","false"
"209","Depressive Disorders (SNOMED & ICD)","45571759","F32.8","Other depressive episodes","Condition","ICD10","N","false","false","false"
