"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"209","Depressive Disorders (SNOMED & ICD)","1410659","F32.802","Atypical depression (machine translation)","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","44832235","296.82","Atypical depressive disorder","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","1410662","F32.901","Depression (machine translation)","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","44833421","311","Depressive disorder, not elsewhere classified","3-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","45595904","F32","Depressive episode","ICD10 Hierarchy","Condition","ICD10"
"209","Depressive Disorders (SNOMED & ICD)","1410646","F32","Depressive episode","ICD10 Hierarchy","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","1410660","F32.9","Depressive episode, unspecified","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","45571760","F32.9","Depressive episode, unspecified","ICD10 code","Condition","ICD10"
"209","Depressive Disorders (SNOMED & ICD)","1410661","F32.900","Depressive episode, unspecified","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","37200321","F34.81","Disruptive mood dysregulation disorder","5-char billing code","Condition","ICD10CM"
"209","Depressive Disorders (SNOMED & ICD)","1410685","F34.100","Dysthymia","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","45586238","F34.1","Dysthymia","ICD10 code","Condition","ICD10"
"209","Depressive Disorders (SNOMED & ICD)","1410684","F34.1","Dysthymia","ICD10 code","Condition","ICD10CN"
"209","Depressive Disorders (SNOMED & ICD)","35207163","F34.1","Dysthymic disorder","4-char billing code","Condition","ICD10CM"
"209","Depressive Disorders (SNOMED & ICD)","44836972","300.4","Dysthymic disorder","4-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44827656","296.36","Major depressive affective disorder, recurrent episode, in full remission","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44834589","296.35","Major depressive affective disorder, recurrent episode, in partial or unspecified remission","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44829923","296.31","Major depressive affective disorder, recurrent episode, mild","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44831090","296.32","Major depressive affective disorder, recurrent episode, moderate","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44827655","296.34","Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44835785","296.33","Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44831089","296.30","Major depressive affective disorder, recurrent episode, unspecified","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44832232","296.26","Major depressive affective disorder, single episode, in full remission","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44822976","296.25","Major depressive affective disorder, single episode, in partial or unspecified remission","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44824114","296.21","Major depressive affective disorder, single episode, mild","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44827654","296.22","Major depressive affective disorder, single episode, moderate","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44820717","296.24","Major depressive affective disorder, single episode, severe, specified as with psychotic behavior","5-dig billing code","Condition","ICD9CM"
"209","Depressive Disorders (SNOMED & ICD)","44835784","296.23","Major depressive affective disorder, single episode, severe, without mention of psychotic behavior","5-dig billing code","Condition","ICD9CM"
