"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45538088","F91.0","Conduct disorder confined to the family context","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45586263","F92.9","Mixed disorder of conduct and emotions, unspecified","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45576555","F63","Habit and impulse disorders","ICD10 Hierarchy","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45542871","F91.1","Unsocialized conduct disorder","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45586251","F63.2","Pathological stealing [kleptomania]","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45571781","F91.8","Other conduct disorders","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45591157","F92","Mixed disorders of conduct and emotions","ICD10 Hierarchy","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45581477","F92.0","Depressive conduct disorder","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45533125","F91.9","Conduct disorder, unspecified","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45605518","F90.1","Hyperkinetic conduct disorder","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45557221","F91.2","Socialized conduct disorder","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45538089","F91.3","Oppositional defiant disorder","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45600764","F91","Conduct disorders","ICD10 Hierarchy","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45562061","F63.1","Pathological fire-setting [pyromania]","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45533118","F63.9","Habit and impulse disorder, unspecified","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45605519","F92.8","Other mixed disorders of conduct and emotions","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45591151","F63.8","Other habit and impulse disorders","ICD10 code","Condition","ICD10"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","1568252","F63.8","Other impulse disorders","4-char nonbill code","Condition","ICD10CM"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","35207270","F91.8","Other conduct disorders","4-char billing code","Condition","ICD10CM"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","45605508","F63.89","Other impulse disorders","5-char billing code","Condition","ICD10CM"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","35207266","F91.0","Conduct disorder confined to family context","4-char billing code","Condition","ICD10CM"
"215","Disruptive, Impulse-Control, & Conduct Disorders (SNOMED & ICD)","35207222","F63.2","Kleptomania","4-char billing code","Condition","ICD10CM"
