"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45533111","F45.22","Body dysmorphic disorder","5-char billing code","Condition","ICD10CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410735","F42.101","Compulsive action (machine translation)","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410731","F42.002","Compulsive syndrome (machine translation)","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410730","F42.001","Compulsive thinking (machine translation)","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1419034","L98.101","Neurogenic excoriation (machine translation)","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410727","F42","Obsessive-compulsive disorder","ICD10 Hierarchy","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","35207174","F42","Obsessive-compulsive disorder","3-char nonbill code","Condition","ICD10CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45562048","F42","Obsessive-compulsive disorder","ICD10 Hierarchy","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410742","F42.901","Obsessive-compulsive disorder (machine translation)","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","44822985","300.3","Obsessive-compulsive disorders","4-dig billing code","Condition","ICD9CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410741","F42.900","Obsessive-compulsive disorder, unspecified","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45600745","F42.9","Obsessive-compulsive disorder, unspecified","ICD10 code","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410740","F42.9","Obsessive-compulsive disorder, unspecified","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","37200327","F42.9","Obsessive-compulsive disorder, unspecified","4-char billing code","Condition","ICD10CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","35207216","F60.5","Obsessive-compulsive personality disorder","4-char billing code","Condition","ICD10CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","44835794","301.4","Obsessive-compulsive personality disorder","4-dig billing code","Condition","ICD9CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","37200326","F42.8","Other obsessive-compulsive disorder","4-char billing code","Condition","ICD10CM"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410738","F42.8","Other obsessive-compulsive disorders","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410739","F42.800","Other obsessive-compulsive disorders","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45533106","F42.8","Other obsessive-compulsive disorders","ICD10 code","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410733","F42.1","Predominantly compulsive acts [obsessional rituals]","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410734","F42.100","Predominantly compulsive acts [obsessional rituals]","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45591138","F42.1","Predominantly compulsive acts [obsessional rituals]","ICD10 code","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410729","F42.000","Predominantly obsessional thoughts or ruminations","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410728","F42.0","Predominantly obsessional thoughts or ruminations","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45605493","F42.0","Predominantly obsessional thoughts or ruminations","ICD10 code","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","45576556","F63.3","Trichotillomania","ICD10 code","Condition","ICD10"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410978","F63.3","Trichotillomania","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","1410979","F63.300","Trichotillomania","ICD10 code","Condition","ICD10CN"
"214","Obsessive-Compulsive and Related Disorders (SNOMED & ICD)","35207223","F63.3","Trichotillomania","4-char billing code","Condition","ICD10CM"
