"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410569","F23","Acute and transient psychotic disorders","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45571750","F23","Acute and transient psychotic disorders","Condition","ICD10","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410583","F23.9","Acute and transient psychotic disorder, unspecified","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45595899","F23.9","Acute and transient psychotic disorder, unspecified","Condition","ICD10","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410584","F23.900","Acute and transient psychotic disorder, unspecified","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410570","F23.0","Acute polymorphic psychotic disorder without symptoms of schizophrenia","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410571","F23.000","Acute polymorphic psychotic disorder without symptoms of schizophrenia","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45547697","F23.0","Acute polymorphic psychotic disorder without symptoms of schizophrenia","Condition","ICD10","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410575","F23.100","Acute polymorphic psychotic disorder with symptoms of schizophrenia","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45552473","F23.1","Acute polymorphic psychotic disorder with symptoms of schizophrenia","Condition","ICD10","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410574","F23.1","Acute polymorphic psychotic disorder with symptoms of schizophrenia","Condition","ICD10CN","N","false","false","false"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410577","F23.200","Acute schizophrenia-like psychotic disorder","Condition","ICD10CN","N","false","false","false"
