"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410569","F23","Acute and transient psychotic disorders","ICD10 Hierarchy","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45571750","F23","Acute and transient psychotic disorders","ICD10 Hierarchy","Condition","ICD10"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410583","F23.9","Acute and transient psychotic disorder, unspecified","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45595899","F23.9","Acute and transient psychotic disorder, unspecified","ICD10 code","Condition","ICD10"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410584","F23.900","Acute and transient psychotic disorder, unspecified","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410570","F23.0","Acute polymorphic psychotic disorder without symptoms of schizophrenia","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410571","F23.000","Acute polymorphic psychotic disorder without symptoms of schizophrenia","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45547697","F23.0","Acute polymorphic psychotic disorder without symptoms of schizophrenia","ICD10 code","Condition","ICD10"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410575","F23.100","Acute polymorphic psychotic disorder with symptoms of schizophrenia","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","45552473","F23.1","Acute polymorphic psychotic disorder with symptoms of schizophrenia","ICD10 code","Condition","ICD10"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410574","F23.1","Acute polymorphic psychotic disorder with symptoms of schizophrenia","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410577","F23.200","Acute schizophrenia-like psychotic disorder","ICD10 code","Condition","ICD10CN"
"218","Schizophrenia Spectrum & Other Psychotic Disorders (SNOMED & ICD)","1410576","F23.2","Acute schizophrenia-like psychotic disorder","ICD10 code","Condition","ICD10CN"
