"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45552461","F19.4","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45566794","F13.5","Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586215","F16","Mental and behavioural disorders due to use of hallucinogens","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571719","F12","Mental and behavioural disorders due to use of cannabinoids","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45562026","F17.4","Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45581433","F16.9","Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45591118","F17.7","Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45566824","F19.8","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45552462","F19.6","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45581407","F10.8","Mental and behavioural disorders due to use of alcohol, Other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600710","F15","Mental and behavioural disorders due to use of other stimulants, including caffeine","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755382","F15.5","Mental and behavioural disorders due to use of other stimulants, including caffeine, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600702","F12.4","Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586202","F12.6","Mental and behavioural disorders due to use of cannabinoids, amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586209","F15.4","Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600706","F13.2","Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45538016","F12.7","Mental and behavioural disorders due to use of cannabinoids, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571716","F11.5","Mental and behavioural disorders due to use of opioids, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45533075","F14.4","Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755378","F13.8","Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45595883","F16.7","Mental and behavioural disorders due to use of hallucinogens, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45595869","F14","Mental and behavioural disorders due to use of cocaine","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586191","F10.4","Mental and behavioural disorders due to use of alcohol, Withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45538018","F13","Mental and behavioural disorders due to use of sedatives or hypnotics","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571729","F14.9","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600732","F19.9","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45557186","F18.4","Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45591105","F14.5","Mental and behavioural disorders due to use of cocaine, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45566795","F13.7","Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571723","F13.0","Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45557158","F10.9","Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571718","F11.9","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600723","F18.9","Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45542817","F16.8","Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600701","F11.7","Mental and behavioural disorders due to use of opioids, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45547673","F10.6","Mental and behavioural disorders due to use of alcohol, Amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755375","F13.3","Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45542822","F17.5","Mental and behavioural disorders due to use of tobacco, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755383","F15.7","Mental and behavioural disorders due to use of other stimulants, including caffeine, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600700","F11.6","Mental and behavioural disorders due to use of opioids, amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45566790","F12.5","Mental and behavioural disorders due to use of cannabinoids, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45547682","F18","Mental and behavioural disorders due to use of volatile solvents","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586194","F11.4","Mental and behavioural disorders due to use of opioids, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755380","F14.3","Mental and behavioural disorders due to use of cocaine, withdrawal state","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586218","F17","Mental and behavioural disorders due to use of tobacco","ICD10 Hierarchy","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45576496","F10.2","Mental and behavioural disorders due to use of alcohol, Dependence syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45591094","F11.8","Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45547674","F10.7","Mental and behavioural disorders due to use of alcohol, Residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45538017","F12.9","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45576522","F17.3","Mental and behavioural disorders due to use of tobacco, withdrawal state","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45600722","F18.8","Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45586211","F15.8","Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755377","F13.6","Mental and behavioural disorders due to use of sedatives or hypnotics, amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45533083","F16.4","Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45581426","F14.7","Mental and behavioural disorders due to use of cocaine, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571715","F11.3","Mental and behavioural disorders due to use of opioids, withdrawal state","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45562035","F19.7","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, residual and late-onset psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45571745","F18.6","Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755373","F10.5","Mental and behavioural disorders due to use of alcohol, Psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45755374","F12.8","Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45605484","F19.5","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, psychotic disorder","ICD10 code","Condition","ICD10"
"216","Substance-Related & Addictive Disorders (SNOMED & ICD)","45566803","F15.9","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
