"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44825294","298.3","Acute paranoid reaction","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410580","F23.301","Acute paranoid state reaction (machine translation)","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44822993","308","Acute reaction to stress","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45591139","F43.0","Acute stress reaction","Condition","ICD10","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410744","F43.0","Acute stress reaction","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410745","F43.000","Acute stress reaction","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207175","F43.0","Acute stress reaction","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410752","F43.200","Adjustment disorders","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410751","F43.2","Adjustment disorders","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1568233","F43.2","Adjustment disorders","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45533108","F43.2","Adjustment disorders","Condition","ICD10","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45576546","F43.20","Adjustment disorder, unspecified","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44822995","309.24","Adjustment disorder with anxiety","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45547707","F43.22","Adjustment disorder with anxiety","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44826524","309.0","Adjustment disorder with depressed mood","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45581461","F43.21","Adjustment disorder with depressed mood","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44836989","309.3","Adjustment disorder with disturbance of conduct","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45600747","F43.24","Adjustment disorder with disturbance of conduct","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45538069","F43.23","Adjustment disorder with mixed anxiety and depressed mood","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44832253","309.28","Adjustment disorder with mixed anxiety and depressed mood","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45547708","F43.25","Adjustment disorder with mixed disturbance of emotions and conduct","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44828847","309.4","Adjustment disorder with mixed disturbance of emotions and conduct","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45576547","F43.29","Adjustment disorder with other symptoms","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44829944","309","Adjustment reaction","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44819560","309.82","Adjustment reaction with physical symptoms","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44821831","309.2","Adjustment reaction with predominant disturbance of other emotions","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44826526","309.83","Adjustment reaction with withdrawal","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45538092","F94.2","Disinhibited attachment disorder of childhood","Condition","ICD10","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207277","F94.2","Disinhibited attachment disorder of childhood","Condition","ICD10CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1411169","F94.2","Disinhibited attachment disorder of childhood","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1411170","F94.200","Disinhibited attachment disorder of childhood","Condition","ICD10CN","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44829943","308.4","Mixed disorders as reaction to stress","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44820738","308.3","Other acute reactions to stress","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44833420","309.29","Other adjustment reactions with predominant disturbance of other emotions","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","44836969","298.8","Other and unspecified reactive psychosis","Condition","ICD9CM","N","false","false","false"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410754","F43.800","Other reactions to severe stress","Condition","ICD10CN","N","false","false","false"
