"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45552484","F43.9","Reaction to severe stress, unspecified","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45591139","F43.0","Acute stress reaction","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45605521","F94.1","Reactive attachment disorder of childhood","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45595909","F43.1","Post-traumatic stress disorder","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45538092","F94.2","Disinhibited attachment disorder of childhood","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45533108","F43.2","Adjustment disorders","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45557206","F43","Reaction to severe stress, and adjustment disorders","ICD10 Hierarchy","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45552483","F43.8","Other reactions to severe stress","ICD10 code","Condition","ICD10"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207177","F43.9","Reaction to severe stress, unspecified","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45538069","F43.23","Adjustment disorder with mixed anxiety and depressed mood","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207277","F94.2","Disinhibited attachment disorder of childhood","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1568231","F43","Reaction to severe stress, and adjustment disorders","3-char nonbill code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45547708","F43.25","Adjustment disorder with mixed disturbance of emotions and conduct","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45576545","F43.11","Post-traumatic stress disorder, acute","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45547707","F43.22","Adjustment disorder with anxiety","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45600747","F43.24","Adjustment disorder with disturbance of conduct","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207175","F43.0","Acute stress reaction","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45576546","F43.20","Adjustment disorder, unspecified","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1568233","F43.2","Adjustment disorders","4-char nonbill code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45576547","F43.29","Adjustment disorder with other symptoms","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35225209","Z60.0","Problems of adjustment to life-cycle transitions","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45600746","F43.10","Post-traumatic stress disorder, unspecified","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45586243","F43.12","Post-traumatic stress disorder, chronic","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1568232","F43.1","Post-traumatic stress disorder (PTSD)","4-char nonbill code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207176","F43.8","Other reactions to severe stress","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","35207276","F94.1","Reactive attachment disorder of childhood","4-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","45581461","F43.21","Adjustment disorder with depressed mood","5-char billing code","Condition","ICD10CM"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410743","F43","Reaction to severe stress, and adjustment disorders","ICD10 Hierarchy","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410585","F23.901","Reactive psychosis (machine translation)","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410753","F43.8","Other reactions to severe stress","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410760","F43.900","Reaction to severe stress, unspecified","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410754","F43.800","Other reactions to severe stress","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1411170","F94.200","Disinhibited attachment disorder of childhood","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410749","F43.100","Post-traumatic stress disorder","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410663","F32.902","Reactive depression (machine translation)","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410580","F23.301","Acute paranoid state reaction (machine translation)","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410751","F43.2","Adjustment disorders","ICD10 code","Condition","ICD10CN"
"211","Trauma- and Stressor-Related Disorders (SNOMED & ICD)","1410752","F43.200","Adjustment disorders","ICD10 code","Condition","ICD10CN"
