"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"166","Mental Disorder (SNOMED & ICD)","45600732","F19.9","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45595913","F61","Mixed and other personality disorders","ICD10 Hierarchy","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45576556","F63.3","Trichotillomania","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45547724","F98","Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence","ICD10 Hierarchy","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45600705","F13.1","Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45600702","F12.4","Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45586263","F92.9","Mixed disorder of conduct and emotions, unspecified","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45605524","F98.8","Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45538089","F91.3","Oppositional defiant disorder","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45595908","F41.8","Other specified anxiety disorders","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45533063","F06.1","Organic catatonic disorder","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45566807","F16.0","Mental and behavioural disorders due to use of hallucinogens, acute intoxication","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45566845","F41.2","Mixed anxiety and depressive disorder","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45595919","F68.8","Other specified disorders of adult personality and behaviour","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45600760","F68.0","Elaboration of physical symptoms for psychological reasons","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45586248","F60.2","Dissocial personality disorder","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45755371","F00.1","Dementia in Alzheimer disease with late onset","ICD10 code","Condition","ICD10"
"166","Mental Disorder (SNOMED & ICD)","45595904","F32","Depressive episode","ICD10 Hierarchy","Condition","ICD10"
