"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"173","Psychotropics - Addiction Drugs (RxNorm)","45774486","1551468","12 HR Bupropion Hydrochloride 90 MG / Naltrexone hydrochloride 8 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","793569","1996192","1.5 ML Buprenorphine 200 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40173407","904880","168 HR Buprenorphine 0.005 MG/HR Transdermal System","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","45776398","1542997","168 HR Buprenorphine 0.0075 MG/HR Transdermal System","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","43559947","1432969","168 HR Buprenorphine 0.015 MG/HR Transdermal System","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40173409","904870","168 HR Buprenorphine 0.01 MG/HR Transdermal System","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40173411","904876","168 HR Buprenorphine 0.02 MG/HR Transdermal System","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","1133223","238129","1 ML Buprenorphine 0.3 MG/ML Injection","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","19019308","198031","24 HR Nicotine 0.292 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","718761","419167","24 HR Nicotine 0.312 MG/HR Transdermal System","Drug","RxNorm","N","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","19019306","198029","24 HR Nicotine 0.583 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","718782","419168","24 HR Nicotine 0.625 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","19019307","198030","24 HR Nicotine 0.875 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","718668","311973","24 HR Nicotine 0.917 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40166395","863848","Abuse-Deterrent Morphine Sulfate 20 MG / Naltrexone hydrochloride 0.8 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40166398","863850","Abuse-Deterrent Morphine Sulfate 30 MG / Naltrexone hydrochloride 1.2 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40166407","863856","Abuse-Deterrent Morphine Sulfate 80 MG / Naltrexone hydrochloride 3.2 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","19043959","82819","acamprosate","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","19043981","835726","Acamprosate calcium 333 MG Delayed Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","1133201","1819","Buprenorphine","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602957","1716077","Buprenorphine 0.075 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602939","1716057","Buprenorphine 0.15 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602945","1716065","Buprenorphine 0.3 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602949","1716069","Buprenorphine 0.45 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602953","1716073","Buprenorphine 0.6 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","1593218","1864412","Buprenorphine 0.7 MG / Naloxone 0.18 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","35602965","1716086","Buprenorphine 0.9 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","45892567","1597568","Buprenorphine 11.4 MG / Naloxone 2.9 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","42898499","1307061","Buprenorphine 12 MG / Naloxone 3 MG Oral Strip","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","43532942","1431076","Buprenorphine 1.4 MG / Naloxone 0.36 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","46287543","1666338","Buprenorphine 2.9 MG / Naloxone 0.71 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","40225989","1010600","Buprenorphine 2 MG / Naloxone 0.5 MG Oral Strip","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","1133231","351266","Buprenorphine 2 MG / Naloxone 0.5 MG Sublingual Tablet","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","1133229","351264","Buprenorphine 2 MG Sublingual Tablet","Drug","RxNorm","S","false","true","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","45774518","1544851","Buprenorphine 4.2 MG / Naloxone 0.7 MG Buccal Film","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","42898503","1307056","Buprenorphine 4 MG / Naloxone 1 MG Oral Strip","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","43532944","1431102","Buprenorphine 5.7 MG / Naloxone 1.4 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","36250050","1797650","Buprenorphine 74.2 MG Drug Implant","Drug","RxNorm","S","false","false","false"
"173","Psychotropics - Addiction Drugs (RxNorm)","45892572","1597573","Buprenorphine 8.6 MG / Naloxone 2.1 MG Sublingual Tablet","Drug","RxNorm","S","false","false","false"
