"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876331","OMOP4873442","0.159 ML Buprenorphine 50 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876330","OMOP4873441","0.159 ML Buprenorphine 50 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876333","OMOP4873444","0.18 ML Buprenorphine 356 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876332","OMOP4873443","0.18 ML Buprenorphine 356 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876337","OMOP4873448","0.27 ML Buprenorphine 356 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876336","OMOP4873447","0.27 ML Buprenorphine 356 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876346","OMOP4873457","0.32 ML Buprenorphine 50 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876345","OMOP4873456","0.32 ML Buprenorphine 50 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876350","OMOP4873461","0.36 ML Buprenorphine 356 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876349","OMOP4873460","0.36 ML Buprenorphine 356 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876375","OMOP4873486","0.48 ML Buprenorphine 50 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876374","OMOP4873485","0.48 ML Buprenorphine 50 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","793477","1996184","0.5 ML Buprenorphine 200 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"173","Psychotropics - Addiction Drugs (RxNorm)","793482","1996189","0.5 ML Buprenorphine 200 MG/ML Prefilled Syringe [Sublocade]","Quant Branded Drug","Drug","RxNorm"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876403","OMOP4873514","0.64 ML Buprenorphine 50 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","42876402","OMOP4873513","0.64 ML Buprenorphine 50 MG/ML Prefilled Syringe [Buvidal]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41511376","OMOP2709338","100000 MG Aconitum napellus extract 0.00000000000003 MG/MG / Amanita muscaria extract 0.00000000000003 MG/MG / Arnica extract 0.0000000003 MG/MG / Cinnamomum camphora leaf extract 0.0002 MG/MG / ... Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41513087","OMOP2711049","100000 MG Aconitum napellus extract 0.00000000000003 MG/MG / Amanita muscaria extract 0.00000000000003 MG/MG / Arnica extract 0.0000000003 MG/MG / Cinnamomum camphora leaf extract 0.0002 MG/MG / ... Topical Ointment Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41515392","OMOP2713354","100000 MG Aconitum napellus extract 0.00000000000003 MG/MG / Amanita muscaria extract 0.00000000000003 MG/MG / Arnica extract 0.0000000003 MG/MG / Cinnamomum camphora leaf extract 0.0002 MG/MG / ... Topical Ointment [Retroplex]","Quant Branded Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41515015","OMOP2712977","100000 MG Aconitum napellus extract 0.00000000000003 MG/MG / Amanita muscaria extract 0.00000000000003 MG/MG / Arnica extract 0.0000000003 MG/MG / Cinnamomum camphora leaf extract 0.0002 MG/MG / ... Topical Ointment [Retroplex] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","44206578","OMOP3083301","10000 MG Nicotine 0.000000000001 MG/MG Oral Tablet","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","44206696","OMOP3083419","10000 MG Nicotine 0.0001 MG/MG Oral Tablet","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41449433","OMOP2647395","1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41447337","OMOP2645299","1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"173","Psychotropics - Addiction Drugs (RxNorm)","41449343","OMOP2647305","1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution [Metaginkgo]","Quant Branded Drug","Drug","RxNorm Extension"
