"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"178","Psychotropics - Antipsychotics (RxNorm)","40163973","858048","0.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","35201957","2055675","0.6 ML Risperidone 150 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40163988","858056","0.75 ML paliperidone palmitate 156 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","46233814","1650966","0.875 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","35201955","2055667","0.8 ML Risperidone 150 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","46233819","1650971","1.315 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","757795","672356","1.3 ML aripiprazole 7.5 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","45892182","1602163","1.5 ML aripiprazole 200 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40163887","858052","1.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","46233821","1650973","1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","35605389","1730076","1 ML Chlorpromazine hydrochloride 25 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40163884","858054","1 ML paliperidone palmitate 156 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40166834","866103","24 HR paliperidone 1.5 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","703246","672567","24 HR paliperidone 3 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","703248","672569","24 HR paliperidone 6 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","703250","672571","24 HR paliperidone 9 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40169352","895670","24 HR quetiapine 150 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","766925","721791","24 HR quetiapine 200 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","766927","721794","24 HR quetiapine 300 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","766929","721796","24 HR quetiapine 400 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","40160985","853201","24 HR quetiapine 50 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","45892184","1602171","2 ML aripiprazole 200 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","739329","282485","2 ML Droperidol 2.5 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"178","Psychotropics - Antipsychotics (RxNorm)","752209","314192","2 ML Prochlorperazine 5 MG/ML Injection","Drug","RxNorm","S","false","true","false"
