"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"179","Psychotropics - Anxiolytics (RxNorm)","19131437","801957","0.5 ML Diazepam 5 MG/ML Rectal Gel","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","40222677","995270","1 ML Hydroxyzine Hydrochloride 25 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19129446","763028","1 ML Lorazepam 2 MG/ML Cartridge","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19129447","763029","1 ML Lorazepam 4 MG/ML Cartridge","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781126","433798","24 HR Alprazolam 0.5 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19107912","433800","24 HR Alprazolam 1 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781127","433799","24 HR Alprazolam 2 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19107913","433801","24 HR Alprazolam 3 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","40221326","1807452","2 ML Diazepam 5 MG/ML Auto-Injector","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19131441","801961","2 ML Diazepam 5 MG/ML Rectal Gel","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19131446","801966","4 ML Diazepam 5 MG/ML Rectal Gel","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781039","596","Alprazolam","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781130","485413","Alprazolam 0.25 MG Disintegrating Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19072933","308047","Alprazolam 0.25 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781152","485415","Alprazolam 0.5 MG Disintegrating Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19072934","308048","Alprazolam 0.5 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781131","485414","Alprazolam 1 MG Disintegrating Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","19072936","308050","Alprazolam 1 MG/ML Oral Solution","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781062","197321","Alprazolam 1 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"179","Psychotropics - Anxiolytics (RxNorm)","781063","197322","Alprazolam 2 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
