"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"179","Psychotropics - Anxiolytics (RxNorm)","19131437","801957","0.5 ML Diazepam 5 MG/ML Rectal Gel","Quant Clinical Drug","Drug","RxNorm"
"179","Psychotropics - Anxiolytics (RxNorm)","19131438","801958","0.5 ML Diazepam 5 MG/ML Rectal Gel [Diastat]","Quant Branded Drug","Drug","RxNorm"
"179","Psychotropics - Anxiolytics (RxNorm)","19129445","763027","0.5 ML Lorazepam 1 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"179","Psychotropics - Anxiolytics (RxNorm)","42922843","OMOP4649643","0.5 ML Lorazepam 4 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","42922842","OMOP4649642","0.5 ML Lorazepam 4 MG/ML Injectable Solution [Ativan]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","36897457","OMOP1000767","100000 MG Diazepam 0.01 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43595410","OMOP829252","100000 MG Diazepam 0.01 MG/MG Oral Solution by Krewel Meuselbach","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35153344","OMOP4810373","1000 MG Chlordiazepoxide 0.01 MG/MG Oral Powder","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35156841","OMOP4813850","1000 MG Chlordiazepoxide 0.01 MG/MG Oral Powder by Tsuruhara Seiyaku","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35159305","OMOP4816289","1000 MG Chlordiazepoxide 0.01 MG/MG Oral Powder [Contol]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35144796","OMOP4801888","1000 MG Chlordiazepoxide 0.1 MG/MG Oral Powder","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35129580","OMOP4786845","1000 MG Chlordiazepoxide 0.1 MG/MG Oral Powder [Balance]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35146918","OMOP4803995","1000 MG Chlordiazepoxide 0.1 MG/MG Oral Powder [Contol]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35130739","OMOP4787987","1000 MG Diazepam 0.01 MG/MG Oral Granules","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35156692","OMOP4813703","1000 MG Diazepam 0.01 MG/MG Oral Powder","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35157048","OMOP4814055","1000 MG Diazepam 0.01 MG/MG Oral Powder by Kyowa","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35156985","OMOP4813992","1000 MG Diazepam 0.01 MG/MG Oral Powder [Cercine]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35155729","OMOP4812744","1000 MG Diazepam 0.01 MG/MG Oral Powder [Pealkit]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","36897119","OMOP996122","1000 MG Diazepam 0.01 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43787627","OMOP724986","1000 MG Diazepam 0.01 MG/MG Oral Solution [Diazepam Abz]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43715717","OMOP724987","1000 MG Diazepam 0.01 MG/MG Oral Solution [Diazepam Abz] by AbZ-Pharma","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43589781","OMOP724988","1000 MG Diazepam 0.01 MG/MG Oral Solution [Diazepam Ratiopharm]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43643992","OMOP724989","1000 MG Diazepam 0.01 MG/MG Oral Solution [Diazepam Ratiopharm] by Ratiopharm","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21039716","OMOP322028","100 ML Chlordiazepoxide 1.5 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21098676","OMOP323504","100 ML clobazam 1 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21098677","OMOP323506","100 ML clobazam 1 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35786768","OMOP2788229","100 ML clobazam 2 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21128035","OMOP323502","100 ML clobazam 2 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21157649","OMOP322859","100 ML Diazepam 0.4 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41416565","OMOP2614527","100 ML Diazepam 0.4 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41414067","OMOP2612029","100 ML Diazepam 0.4 MG/ML Oral Solution Box of 10","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21069293","OMOP322863","100 ML Diazepam 0.4 MG/ML Oral Solution by A A H","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21079048","OMOP322864","100 ML Diazepam 0.4 MG/ML Oral Solution by Actavis","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21098649","OMOP322862","100 ML Diazepam 0.4 MG/ML Oral Solution by Alliance","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21137839","OMOP322865","100 ML Diazepam 0.4 MG/ML Oral Solution by Almus","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21049559","OMOP322860","100 ML Diazepam 0.4 MG/ML Oral Solution by Mawdsley-Brooks","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21147694","OMOP322861","100 ML Diazepam 0.4 MG/ML Oral Solution by Sandoz","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41421297","OMOP2619259","100 ML Diazepam 0.4 MG/ML Oral Solution [Valium]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41420426","OMOP2618388","100 ML Diazepam 0.4 MG/ML Oral Solution [Valium] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41421296","OMOP2619258","100 ML Diazepam 0.4 MG/ML Oral Solution [Valium] Box of 10","Quant Branded Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41419004","OMOP2616966","100 ML Diazepam 0.4 MG/ML Oral Solution [Valium] Box of 1 by Roche","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712146","OMOP4744993","100 ML Diazepam 0.4 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712144","OMOP4744995","100 ML Diazepam 0.4 MG/ML Oral Suspension by A A H","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712145","OMOP4744994","100 ML Diazepam 0.4 MG/ML Oral Suspension by Alliance","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712143","OMOP4744996","100 ML Diazepam 0.4 MG/ML Oral Suspension by Sandoz","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21128000","OMOP322870","100 ML Diazepam 1 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21147695","OMOP322873","100 ML Diazepam 1 MG/ML Oral Solution by A A H","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21177209","OMOP322872","100 ML Diazepam 1 MG/ML Oral Solution by AM Distributions","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","43275975","OMOP566601","100 ML Diazepam 1 MG/ML Oral Solution by Orion","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21079049","OMOP322871","100 ML Diazepam 1 MG/ML Oral Solution by Sandoz","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712142","OMOP4744997","100 ML Diazepam 1 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712141","OMOP4744998","100 ML Diazepam 1 MG/ML Oral Suspension by A A H","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40712140","OMOP4744999","100 ML Diazepam 1 MG/ML Oral Suspension by Sandoz","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21157650","OMOP322874","100 ML Diazepam 2 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21088731","OMOP322866","100 ML Diazepam 3 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","42919349","OMOP4646218","100 ML Hydroxyzine 2 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","42919350","OMOP4646219","100 ML Hydroxyzine 2 MG/ML Oral Suspension [DOODRIZINE]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","42919348","OMOP4646217","100 ML Hydroxyzine 2 MG/ML Oral Suspension [Ucerax]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41420879","OMOP2618841","100 ML Hydroxyzine 8.52 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41417400","OMOP2615362","100 ML Hydroxyzine 8.52 MG/ML Oral Solution Box of 10","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41427113","OMOP2625075","100 ML Hydroxyzine 8.52 MG/ML Oral Solution [Masmoran]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41421219","OMOP2619181","100 ML Hydroxyzine 8.52 MG/ML Oral Solution [Masmoran] Box of 10","Quant Branded Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41422586","OMOP2620548","100 ML Hydroxyzine 8.5 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41414842","OMOP2612804","100 ML Hydroxyzine 8.5 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41415166","OMOP2613128","100 ML Hydroxyzine 8.5 MG/ML Oral Solution [Masmoran]","Quant Branded Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41420346","OMOP2618308","100 ML Hydroxyzine 8.5 MG/ML Oral Solution [Masmoran] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","41422399","OMOP2620361","100 ML Hydroxyzine 8.5 MG/ML Oral Solution [Masmoran] Box of 1 by Pfizer","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35787511","OMOP2788972","100 ML Lorazepam 0.1 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35786516","OMOP2787977","100 ML Lorazepam 0.1 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21079030","OMOP322377","100 ML Lorazepam 0.1 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35786324","OMOP2787785","100 ML Lorazepam 0.1 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35786590","OMOP2788051","100 ML Lorazepam 0.2 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35787061","OMOP2788522","100 ML Lorazepam 0.2 MG/ML Oral Solution by Drug Tariff Special Order","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21177198","OMOP322379","100 ML Lorazepam 0.2 MG/ML Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","35787442","OMOP2788903","100 ML Lorazepam 0.2 MG/ML Oral Suspension by Drug Tariff Special Order","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21069746","OMOP302471","1.25 ML Diazepam 2 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21069748","OMOP302475","1.25 ML Diazepam 2 MG/ML Oral Solution Box of 5","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21177636","OMOP302476","1.25 ML Diazepam 2 MG/ML Oral Solution Box of 5 by Ennogen","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21040202","OMOP302480","1.25 ML Diazepam 2 MG/ML Oral Solution Box of 5 by J M McGill","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21030361","OMOP302481","1.25 ML Diazepam 2 MG/ML Oral Solution Box of 5 by Wockhardt","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21099133","OMOP302472","1.25 ML Diazepam 2 MG/ML Oral Solution by Ennogen","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21069747","OMOP302473","1.25 ML Diazepam 2 MG/ML Oral Solution by J M McGill","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","21158145","OMOP302474","1.25 ML Diazepam 2 MG/ML Oral Solution by Wockhardt","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718680","OMOP4739426","1.25 ML Diazepam 2 MG/ML Rectal Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718676","OMOP4739430","1.25 ML Diazepam 2 MG/ML Rectal Solution Box of 5","Quant Clinical Box","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718674","OMOP4739432","1.25 ML Diazepam 2 MG/ML Rectal Solution Box of 5 by Ennogen","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718673","OMOP4739433","1.25 ML Diazepam 2 MG/ML Rectal Solution Box of 5 by J M McGill","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718675","OMOP4739431","1.25 ML Diazepam 2 MG/ML Rectal Solution Box of 5 by Wockhardt","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718678","OMOP4739428","1.25 ML Diazepam 2 MG/ML Rectal Solution by Ennogen","Marketed Product","Drug","RxNorm Extension"
"179","Psychotropics - Anxiolytics (RxNorm)","40718677","OMOP4739429","1.25 ML Diazepam 2 MG/ML Rectal Solution by J M McGill","Marketed Product","Drug","RxNorm Extension"
