"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40221035","1805420","24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 21 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","45892894","1599803","24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40163966","860695","24 HR galantamine hydrobromide 16 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40163968","860707","24 HR galantamine hydrobromide 24 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40163970","860715","24 HR galantamine hydrobromide 8 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40221889","996594","24 HR Memantine hydrochloride 14 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40221891","996603","24 HR Memantine hydrochloride 21 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40221893","996609","24 HR Memantine hydrochloride 28 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40221895","996615","24 HR Memantine hydrochloride 7 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","19127019","725021","24 HR rivastigmine 0.192 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","19127021","725023","24 HR rivastigmine 0.396 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","42898243","1308569","24 HR rivastigmine 0.554 MG/HR Transdermal System","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","715997","135447","donepezil","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40223766","997220","Donepezil hydrochloride 10 MG Disintegrating Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40223768","997223","Donepezil hydrochloride 10 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40239151","1100184","Donepezil hydrochloride 23 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40223776","997226","Donepezil hydrochloride 5 MG Disintegrating Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40223778","997229","Donepezil hydrochloride 5 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40057961","371957","donepezil Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","757627","4637","Galantamine","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","757640","579148","Galantamine 12 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","19077572","310436","Galantamine 4 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","19077573","310437","Galantamine 8 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40165629","860901","galantamine hydrobromide 4 MG/ML Oral Solution","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","701322","6719","Memantine","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40222834","996561","Memantine hydrochloride 10 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40222846","996740","Memantine hydrochloride 2 MG/ML Oral Solution","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40222862","996571","Memantine hydrochloride 5 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733523","183379","rivastigmine","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733562","314214","rivastigmine 1.5 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733529","312834","rivastigmine 2 MG/ML Oral Solution","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733530","312835","rivastigmine 3 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733563","314215","rivastigmine 4.5 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","733531","312836","rivastigmine 6 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
