"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43864354","OMOP718034","0.5 ML Memantine 10 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43791813","OMOP718039","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Abz]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43755994","OMOP718040","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Abz] by AbZ-Pharma","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43702206","OMOP718037","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Ratiopharm]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43719911","OMOP718038","0.5 ML Memantine 10 MG/ML Oral Solution [Memantin Ratiopharm] by Ratiopharm","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43630136","OMOP718035","0.5 ML Memantine 10 MG/ML Oral Solution [Zolmemin]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43666324","OMOP718036","0.5 ML Memantine 10 MG/ML Oral Solution [Zolmemin] by NEL","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","21137754","OMOP323938","100000 MG Memantine 0.01 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41516026","OMOP2713988","100000 MG Memantine 0.01 MG/MG Oral Solution [Axura]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41513506","OMOP2711468","100000 MG Memantine 0.01 MG/MG Oral Solution [Axura] Box of 200","Quant Branded Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41514347","OMOP2712309","100000 MG Memantine 0.01 MG/MG Oral Solution [Axura] Box of 200 by Merz","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41516251","OMOP2714213","100000 MG Memantine 0.01 MG/MG Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41511293","OMOP2709255","100000 MG Memantine 0.01 MG/MG Oral Solution Box of 200","Quant Clinical Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","21147593","OMOP323939","100000 MG Memantine 0.01 MG/MG Oral Solution [Ebixa]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41513153","OMOP2711115","100000 MG Memantine 0.01 MG/MG Oral Solution [Ebixa] Box of 200","Quant Branded Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41511558","OMOP2709520","100000 MG Memantine 0.01 MG/MG Oral Solution [Ebixa] Box of 200 by Lundbeck","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","21078946","OMOP323940","100000 MG Memantine 0.01 MG/MG Oral Solution [Ebixa] by Lundbeck","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43667466","OMOP839469","100000 MG Memantine 0.01 MG/MG Oral Solution [Memdub]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41512808","OMOP2710770","100000 MG Memantine 0.01 MG/MG Oral Solution [Memdub] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43757154","OMOP839470","100000 MG Memantine 0.01 MG/MG Oral Solution [Memdub] by IIP-Institut","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43847273","OMOP839471","100000 MG Memantine 0.01 MG/MG Oral Solution [Memorb]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41515293","OMOP2713255","100000 MG Memantine 0.01 MG/MG Oral Solution [Memorb] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43649424","OMOP839472","100000 MG Memantine 0.01 MG/MG Oral Solution [Memorb] by IIP-Institut","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40703768","OMOP4753188","100000 ML Memantine 10 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40703767","OMOP4753189","100000 ML Memantine 10 MG/ML Oral Solution [Ebixa]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","40703766","OMOP4753190","100000 ML Memantine 10 MG/ML Oral Solution [Ebixa] by Lundbeck","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","35160785","OMOP4817761","1000 MG donepezil 0.005 MG/MG Oral Granules","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","35149422","OMOP4806481","1000 MG donepezil 0.005 MG/MG Oral Granules by Kyowa","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","35154975","OMOP4811996","1000 MG donepezil 0.005 MG/MG Oral Granules by Nichi-Iko","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","35160098","OMOP4817077","1000 MG donepezil 0.005 MG/MG Oral Granules by Sawai Seiyaku","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","35138057","OMOP4795225","1000 MG donepezil 0.01 MG/MG Powder for Oral Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43859936","OMOP734022","1000 MG Memantine 0.01 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43697779","OMOP734023","1000 MG Memantine 0.01 MG/MG Oral Solution [Memdub]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43787519","OMOP734024","1000 MG Memantine 0.01 MG/MG Oral Solution [Memdub] by IIP-Institut","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43769623","OMOP734025","1000 MG Memantine 0.01 MG/MG Oral Solution [Memorb]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43733697","OMOP734026","1000 MG Memantine 0.01 MG/MG Oral Solution [Memorb] by IIP-Institut","Marketed Product","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41419168","OMOP2617130","100 ML Galantamine 0.04 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41416529","OMOP2614491","100 ML Galantamine 0.04 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41426329","OMOP2624291","100 ML Galantamine 0.04 MG/ML Oral Solution [Razadyne]","Quant Branded Drug","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41416060","OMOP2614022","100 ML Galantamine 0.04 MG/ML Oral Solution [Razadyne] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","41426611","OMOP2624573","100 ML Galantamine 0.04 MG/ML Oral Solution [Razadyne] Box of 1 by Emra-Med","Marketed Product","Drug","RxNorm Extension"
