"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43363956","101181000036107","Donepezil Hydrochloride (Drla) 5 Mg Tablet: Film-Coated, 28","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43336729","6610011000036106","Exelon 6 Mg Hard Capsule","Trade Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43363959","933212261000036108","Donepezil Hydrochloride (Gh) 5 Mg Tablet: Film-Coated, 120, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43318694","99371000036101","Donepezil Hydrochloride (Apo) 10 Mg Tablet: Film-Coated","Trade Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43300921","933201441000036104","Donpesyn 10 Mg Tablet: Film-Coated, 56","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43336728","20096011000036107","Exelon 4.5 Mg Hard Capsule, 56, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43327919","104671000036101","Donepezil Hydrochloride (Rbx) 10 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43300857","933212401000036108","Donepezil Hydrochloride (Gh) 10 Mg Tablet: Film-Coated, 60, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43334476","2566011000036104","Rivastigmine","AU Substance","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43345749","20097011000036105","Exelon 6 Mg Hard Capsule, 56, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43318737","121391000036103","Donepezil Hydrochloride (Pharmacor) 10 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43360818","23562011000036107","Galantamine 8 Mg Modified Release Capsule","Med Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43354932","98121000036107","Donepezil Hydrochloride (Drla) 5 Mg Tablet: Film-Coated","Trade Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43364003","933212141000036101","Donepezil Hydrochloride (Synthon) 5 Mg Tablet: Film-Coated, 7, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43313196","42223011000036105","Reminyl 24 Mg Modified Release Capsule, 300","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43336874","32651000036102","Donaccord 10 Mg Tablet: Film-Coated","Trade Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43363937","101191000036109","Donepezil Hydrochloride (Drla) 10 Mg Tablet: Film-Coated, 28","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43322097","44774011000036109","Reminyl 8 Mg Modified Release Capsule, 300, Bottle","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43309921","933201311000036105","Donpesyn 5 Mg Tablet: Film-Coated, 84","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43334477","23029011000036108","Rivastigmine 3 Mg Capsule","Med Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43360308","933201031000036103","Donepezil Hydrochloride 5 Mg Tablet, 120","Med Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43355015","933201481000036108","Donpesyn 10 Mg Tablet: Film-Coated, 98","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43329485","920171011000036102","Memantine (Apo) 10 Mg Tablet: Film-Coated","Trade Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43317135","104981000036106","Aridon 5 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43310028","87710011000036107","Galantyl 8 Mg Modified Release Capsule, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43308232","102051000036105","Aridon 5 Mg Tablet: Film-Coated, 28","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43302516","667641000168107","Memantine (Generic Health) 20 Mg Tablet: Film-Coated, 56","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43343350","23201011000036107","Rivastigmine 2 Mg/Ml Oral Liquid","Med Product Unit","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43353211","103981000036108","Arazil 10 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43345897","933212371000036106","Donepezil Hydrochloride (Gh) 10 Mg Tablet: Film-Coated, 30, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43345900","933201211000036104","Donepezil Hydrochloride (Gh) 10 Mg Tablet: Film-Coated, 84","Trade Product Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43300876","104651000036106","Donepezil Hydrochloride (Rbx) 5 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43336951","933212111000036102","Donepezil Hydrochloride (Synthon) 5 Mg Tablet: Film-Coated, 50, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43327896","933212391000036105","Donepezil Hydrochloride (Gh) 10 Mg Tablet: Film-Coated, 56, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43355016","933211911000036108","Donpesyn 5 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43308231","104991000036108","Aridon 10 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43354940","933212341000036104","Donepezil Hydrochloride (Gh) 5 Mg Tablet: Film-Coated, 98, Blister Pack","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43299124","103991000036105","Arazil 10 Mg Tablet: Film-Coated, 28, Bottle","Containered Pack","Drug","AMT"
"174","Psychotropics - Anti-Dementia Drugs (RxNorm)","43300823","659351000168104","Donepezil Hydrochloride (An) 5 Mg Tablet: Film-Coated, 28, Blister Pack","Containered Pack","Drug","AMT"
