"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35603044","1718909","100 ML Dexmedetomidine 0.004 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35603037","1718900","20 ML Dexmedetomidine 0.004 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19076175","309710","2 ML Dexmedetomidine 0.1 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","40223160","998211","2 ML Midazolam 1 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","45774456","1551393","2 ML Midazolam 5 MG/ML Prefilled Syringe","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","42921976","OMOP4648795","2 ML Pentobarbital 50 MG/ML Injectable Solution","Drug","RxNorm Extension","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35603042","1718906","50 ML Dexmedetomidine 0.004 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19123143","606947","Acetaminophen 325 MG / dichloralphenazone 100 MG / isometheptene 65 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19073157","308170","Amobarbital Sodium 500 MG Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","959174","477631","butabarbital","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","42709204","1251614","Butabarbital sodium 30 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19123457","616568","calcium phosphate 112 MG / Melatonin 3 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","742655","755618","Chloral Hydrate 100 MG/ML Oral Solution","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","742596","197459","Chloral Hydrate 500 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19061088","48937","Dexmedetomidine","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35603040","1718903","Dexmedetomidine 0.004 MG/ML Injection","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","40028652","377219","Dexmedetomidine Injectable Solution","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","36785645","OMOP4773926","Dexmedetomidine Intravenous Solution","Drug","RxNorm Extension","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","36893479","OMOP1002099","Dexmedetomidine Prefilled Syringe","Drug","RxNorm Extension","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","1189490","22892","dichloralphenazone","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","748010","4077","Estazolam","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","748011","197653","Estazolam 1 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","748032","197654","Estazolam 2 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","757352","461016","Eszopiclone","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","19112814","485440","Eszopiclone 1 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","757356","485442","Eszopiclone 2 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","757358","485465","Eszopiclone 3 MG Oral Tablet","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","756349","4501","Flurazepam","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","42800765","1298088","Flurazepam Hydrochloride 15 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","42800772","1298091","Flurazepam Hydrochloride 30 MG Oral Capsule","Drug","RxNorm","S","false","true","false"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","1301152","6711","Melatonin","Drug","RxNorm","S","false","true","false"
