"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21177626","OMOP285615","0.25 ML Midazolam 10 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21079496","OMOP285618","0.25 ML Midazolam 10 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41405435","OMOP2603397","0.3 ML Scopolamine 1.4 MG/ML Ophthalmic Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41405666","OMOP2603628","0.3 ML Scopolamine 1.4 MG/ML Ophthalmic Solution Box of 100","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41405771","OMOP2603733","0.3 ML Scopolamine 1.4 MG/ML Ophthalmic Solution Box of 20","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","40719370","OMOP4737859","0.5 ML Lidocaine 20 MG/ML / Midazolam 40 MG/ML Inhalant Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","40719369","OMOP4737860","0.5 ML Lidocaine 20 MG/ML / Midazolam 40 MG/ML Inhalant Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41409151","OMOP2607113","0.5 ML Midazolam 5.56 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41409340","OMOP2607302","0.5 ML Midazolam 5.56 MG/ML Oral Solution Box of 4","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41408463","OMOP2606425","0.5 ML Midazolam 5.56 MG/ML Oral Solution [Buccolam]","Quant Branded Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41409397","OMOP2607359","0.5 ML Midazolam 5.56 MG/ML Oral Solution [Buccolam] Box of 4","Quant Branded Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41407944","OMOP2605906","0.5 ML Midazolam 5.56 MG/ML Oral Solution [Buccolam] Box of 4 by Shire","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21177004","OMOP286685","0.5 ML Midazolam 5 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21177005","OMOP286687","0.5 ML Midazolam 5 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21078835","OMOP286689","0.5 ML Midazolam 5 MG/ML Oral Solution Box of 4","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21108267","OMOP286690","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam]","Quant Branded Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21118009","OMOP286692","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam] Box of 4","Quant Branded Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35414630","OMOP1148215","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam] Box of 4 by Shire","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21167212","OMOP286694","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam] Box of 4 by ViroPharma","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","40719315","OMOP4737914","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam] by Shire","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21069062","OMOP286691","0.5 ML Midazolam 5 MG/ML Oral Solution [Buccolam] by ViroPharma","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43522011","OMOP2809126","100000 MG Menthol 0.046 MG/MG / methyl salicylate 0.1 MG/MG / trichloroacetaldehyde 0.023 MG/MG / Zinc Oxide 0.065 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43522091","OMOP2809206","100000 MG Menthol 0.046 MG/MG / methyl salicylate 0.1 MG/MG / trichloroacetaldehyde 0.023 MG/MG / Zinc Oxide 0.065 MG/MG Topical Ointment by Gold Cross","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","44136533","OMOP1131164","100000 MG Menthol 0.1 MG/MG / methyl salicylate 0.15 MG/MG / trichloroacetaldehyde 10 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","44136586","OMOP1131217","100000 MG Menthol 0.1 MG/MG / methyl salicylate 0.15 MG/MG / trichloroacetaldehyde 10 MG/MG Topical Ointment [Analgesic Balm]","Quant Branded Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","44136542","OMOP1131173","100000 MG Menthol 0.1 MG/MG / methyl salicylate 0.15 MG/MG / trichloroacetaldehyde 10 MG/MG Topical Ointment [Analgesic Balm] by D.C.","Marketed Product","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35160984","OMOP4817957","1000 MG Estazolam 0.01 MG/MG Oral Powder","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","35139496","OMOP4796650","1000 MG Estazolam 0.01 MG/MG Oral Powder [Eurodin]","Quant Branded Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","21116361","OMOP290779","1000 MG trichloroacetaldehyde 0.02 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41447934","OMOP2645896","1000 ML aprobarbital 7 MG/ML / butabarbital 5 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41448263","OMOP2646225","1000 ML aprobarbital 7 MG/ML / butabarbital 5 MG/ML Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41448754","OMOP2646716","1000 ML aprobarbital 7 MG/ML / butabarbital 5 MG/ML Oral Solution [Resedorm]","Quant Branded Drug","Drug","RxNorm Extension"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","41449205","OMOP2647167","1000 ML aprobarbital 7 MG/ML / butabarbital 5 MG/ML Oral Solution [Resedorm] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
