"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43304564","43734011000036109","Stildem 10 Mg Tablet: Film-Coated, 20, Blister Pack","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43302349","664111000168106","Midazolam (Act) 50 Mg/10 Ml Injection: Solution, 10 Ml Ampoule","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43343434","46179011000036106","Zolpidem Tartrate 6.25 Mg Modified Release Tablet, 20","Med Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43329360","44415011000036108","Midazolam (Dbl) 5 Mg/5 Ml Injection, 5 X 5 Ml Ampoules","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43347345","795951000168104","Midazolam (Accord) 5 Mg/Ml Injection: Solution, 1 Ml Ampoule","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43340568","41243011000036107","Stilnox Cr 12.5 Mg Modified Release Tablet, 14","Trade Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43304568","41241011000036106","Stilnox Cr 12.5 Mg Modified Release Tablet, 10","Trade Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43350753","63291000036106","Zolpidem Tartrate (Synthon) 10 Mg Tablet: Film-Coated, 7","Trade Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43351496","45315011000036108","Dexmedetomidine 200 Microgram/2 Ml Injection, Vial","Med Product Unit","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43336990","43751011000036105","Dormizol 10 Mg Tablet: Film-Coated, 14, Blister Pack","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43334012","663931000168100","Midazolam 15 Mg/3 Ml Injection, 3 Ml Ampoule","Med Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43341681","63271000036107","Zolpidem Tartrate (Synthon) 10 Mg Tablet: Film-Coated, 10","Trade Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43349579","44380011000036109","Stilnox 10 Mg Tablet: Film-Coated, 7, Blister Pack","Containered Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43335745","41537011000036109","Buscopan 10 Mg Sugar Coated Tablet, 100","Trade Product Pack","Drug","AMT"
"180","Psychotropics - Hypnotics & Sedatives (RxNorm)","43368756","73251011000036109","Zolpibell 10 Mg Tablet: Film-Coated, 14, Blister Pack","Containered Pack","Drug","AMT"
