"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"177","Psychotropics - Psychostimulants (RxNorm)","1366662","2119571","20/80 Release 24 HR Methylphenidate Hydrochloride 55 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","35605028","1739803","24 HR Amphetamine 12.5 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","35606624","1720586","24 HR Amphetamine 2.5 MG/ML Extended Release Suspension","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","35605048","1739825","24 HR Amphetamine 3.1 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","35605054","1739831","24 HR Amphetamine 6.3 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","35605060","1739837","24 HR Amphetamine 9.4 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163907","861237","24 HR Amphetamine aspartate 1.25 MG / Amphetamine Sulfate 1.25 MG / Dextroamphetamine saccharate 1.25 MG / Dextroamphetamine Sulfate 1.25 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163909","861221","24 HR Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163911","861223","24 HR Amphetamine aspartate 3.75 MG / Amphetamine Sulfate 3.75 MG / Dextroamphetamine saccharate 3.75 MG / Dextroamphetamine Sulfate 3.75 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163913","861225","24 HR Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163915","861227","24 HR Amphetamine aspartate 6.25 MG / Amphetamine Sulfate 6.25 MG / Dextroamphetamine saccharate 6.25 MG / Dextroamphetamine Sulfate 6.25 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40163917","861232","24 HR Amphetamine aspartate 7.5 MG / Amphetamine Sulfate 7.5 MG / Dextroamphetamine saccharate 7.5 MG / Dextroamphetamine Sulfate 7.5 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40171518","899439","24 HR dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40171520","899461","24 HR dexmethylphenidate hydrochloride 15 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40171522","899485","24 HR dexmethylphenidate hydrochloride 20 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40238670","1101926","24 HR dexmethylphenidate hydrochloride 25 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40171524","899495","24 HR dexmethylphenidate hydrochloride 30 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40238672","1101932","24 HR dexmethylphenidate hydrochloride 35 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40224110","1006608","24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40171526","899511","24 HR dexmethylphenidate hydrochloride 5 MG Extended Release Oral Capsule","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40235269","1091155","24 HR Methylphenidate Hydrochloride 18 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40235274","1091170","24 HR Methylphenidate Hydrochloride 27 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40235279","1091185","24 HR Methylphenidate Hydrochloride 36 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","40235286","1091210","24 HR Methylphenidate Hydrochloride 54 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","42901645","1312583","24 HR Methylphenidate Hydrochloride 5 MG/ML Extended Release Suspension","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","793414","1995461","24 HR Methylphenidate Hydrochloride 72 MG Extended Release Oral Tablet","Drug","RxNorm","S","false","true","false"
"177","Psychotropics - Psychostimulants (RxNorm)","19058050","240738","2 ML Caffeine 125 MG/ML / Sodium Benzoate 125 MG/ML Injection","Drug","RxNorm","S","false","true","false"
