"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"177","Psychotropics - Psychostimulants (RxNorm)","41521943","OMOP2719905","1000000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / ... Oral Solution [Asthma Frenon] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41521935","OMOP2719897","1000000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41521866","OMOP2719828","1000000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG / ... Oral Solution [Asthma Frenon]","Quant Branded Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41521853","OMOP2719815","1000000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41512038","OMOP2710000","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / homatropine 0.0003 MG/MG / ... Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41515936","OMOP2713898","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / homatropine 0.0003 MG/MG / ... Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41513232","OMOP2711194","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / ... Oral Solution [Asthma Frenon]","Quant Branded Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41512562","OMOP2710524","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / ... Oral Solution [Asthma Frenon] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41511818","OMOP2709780","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / ... Oral Solution [Asthma Frenon] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41515194","OMOP2713156","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41516095","OMOP2714057","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG / ... Oral Solution [Asthma Frenon]","Quant Branded Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41512024","OMOP2709986","100000 MG Antipyrine 0.2 MG/MG / Caffeine 0.106 MG/MG / Camphor 0.002 MG/MG / Ephedrine 0.015 MG/MG / Eucalyptol 0.004 MG/MG / Menthol 0.004 MG/MG / Phthalic Acid Monobenzyl Ester 0.0705 MG/MG / Potassium 0.025 MG/MG Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","43594774","OMOP824021","100000 MG Caffeine 0.00142 MG/MG / Ptychopetalum olacoides wood extract 0.000109 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","43684907","OMOP824022","100000 MG Caffeine 0.00142 MG/MG / Ptychopetalum olacoides wood extract 0.000109 MG/MG Oral Solution [Elixir Pure Classic]","Quant Branded Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","43684908","OMOP824024","100000 MG Caffeine 0.00142 MG/MG / Ptychopetalum olacoides wood extract 0.000109 MG/MG Oral Solution [Elixir Pure Classic] by Inverma Johannes Lange","Marketed Product","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41477920","OMOP2675882","10000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / homatropine 0.0003 MG/MG / ... Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41477009","OMOP2674971","10000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / homatropine 0.0003 MG/MG / ... Oral Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41477464","OMOP2675426","10000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / ... Oral Solution [Asthma Frenon]","Quant Branded Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41477586","OMOP2675548","10000 MG Antipyrine 0.2 MG/MG / Caffeine 0.05 MG/MG / Camphor 0.002 MG/MG / Dyphylline 0.1 MG/MG / Ephedrine 0.005 MG/MG / etofylline 0.1 MG/MG / Eucalyptol 0.004 MG/MG / Guaifenesin 0.0458 MG/MG / ... Oral Solution [Asthma Frenon] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41446943","OMOP2644905","1000 MG Antipyrine 0.84 MG/MG / Caffeine 0.1 MG/MG / Digitoxin 0.0003 MG/MG / Iodophenazone 0.01 MG/MG / Lobelia inflata preparation 0.0001 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"177","Psychotropics - Psychostimulants (RxNorm)","41447188","OMOP2645150","1000 MG Antipyrine 0.84 MG/MG / Caffeine 0.1 MG/MG / Digitoxin 0.0003 MG/MG / Iodophenazone 0.01 MG/MG / Lobelia inflata preparation 0.0001 MG/MG Oral Solution Box of 10","Quant Clinical Box","Drug","RxNorm Extension"
