"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"232","Psychotherapy (CPT4)","2213546","90847","Family psychotherapy (conjoint psychotherapy) (with patient present), 50 minutes","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213545","90846","Family psychotherapy (without the patient present), 50 minutes","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213548","90853","Group psychotherapy (other than of a multiple-family group)","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","45890023","1012728","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy)","Procedure","CPT4","C","false","false","false"
"232","Psychotherapy (CPT4)","2213554","90875","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); 30 minutes","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213555","90876","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); 45 minutes","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213532","90816","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213533","90817","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management ","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213534","90818","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213535","90819","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management ","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213536","90821","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213537","90822","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation and management ","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213520","90804","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213521","90805","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management services","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213522","90806","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213523","90807","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management services","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213524","90808","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213525","90809","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation and management services","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213539","90824","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes fa","Procedure","CPT4","S","false","false","false"
"232","Psychotherapy (CPT4)","2213538","90823","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes fa","Procedure","CPT4","S","false","false","false"
