"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"232","Psychotherapy (CPT4)","2213546","90847","Family psychotherapy (conjoint psychotherapy) (with patient present), 50 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213545","90846","Family psychotherapy (without the patient present), 50 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213548","90853","Group psychotherapy (other than of a multiple-family group)","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","45890023","1012728","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy)","CPT4 Hierarchy","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213554","90875","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); 30 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213555","90876","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); 45 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213532","90816","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213533","90817","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management ","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213534","90818","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213535","90819","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management ","CPT4","Procedure","CPT4"
