"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"232","Psychotherapy (CPT4)","2108572","4062F","Patient referral for psychotherapy documented (MDD, MDD ADOL)","CPT4","Observation","CPT4"
"232","Psychotherapy (CPT4)","2108571","4060F","Psychotherapy services provided (MDD, MDD ADOL)","CPT4","Observation","CPT4"
"232","Psychotherapy (CPT4)","2000118120","PSYCHOTHERAPY SERVICES PROVIDED","PSYCHOTHERAPY SERVICES PROVIDED","CPT4","Observation","STANFORD_OBSERVATION_STCM"
"232","Psychotherapy (CPT4)","2000116665","PATIENT REFERRAL FOR PSYCHOTHERAPY DOCUMENTED","PATIENT REFERRAL FOR PSYCHOTHERAPY DOCUMENTED","CPT4","Observation","STANFORD_OBSERVATION_STCM"
"232","Psychotherapy (CPT4)","43527990","90839","Psychotherapy for crisis; first 60 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2514493","99354","Prolonged evaluation and management or psychotherapy service(s) (beyond the typical service time of the primary procedure) in the office or other outpatient setting requiring direct patient contact beyond the usual service; first hour (List separately in ","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","45889353","1021162","Psychotherapy for crisis","CPT4 Hierarchy","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213526","90810","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213550","90862","Pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213529","90813","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient; with m","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213520","90804","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213531","90815","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient; with m","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213535","90819","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management ","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213533","90817","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management ","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213522","90806","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213544","90845","Psychoanalysis","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213538","90823","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes fa","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","43527987","90833","Psychotherapy, 30 minutes with patient when performed with an evaluation and management service (List separately in addition to the code for primary procedure)","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","43527989","90838","Psychotherapy, 60 minutes with patient when performed with an evaluation and management service (List separately in addition to the code for primary procedure)","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213539","90824","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes fa","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213542","90828","Individual psychotherapy, interactive, using play equipment, physical devices, language interpreter, or other mechanisms of non-verbal communication, in an inpatient hospital, partial hospital or residential care setting, approximately 75 to 80 minutes fa","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","43527991","90840","Psychotherapy for crisis; each additional 30 minutes (List separately in addition to code for primary service)","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213545","90846","Family psychotherapy (without the patient present), 50 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213549","90857","Interactive group psychotherapy","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213555","90876","Individual psychophysiological therapy incorporating biofeedback training by any modality (face-to-face with the patient), with psychotherapy (eg, insight oriented, behavior modifying or supportive psychotherapy); 45 minutes","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","43527905","90837","Psychotherapy, 60 minutes with patient","CPT4","Procedure","CPT4"
"232","Psychotherapy (CPT4)","2213546","90847","Family psychotherapy (conjoint psychotherapy) (with patient present), 50 minutes","CPT4","Procedure","CPT4"
