"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"230","Suicide Attempt (SNOMED & ICD)","1433166","X79","Intentional self-harm by blunt object","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45756451","X79","Intentional self-harm by blunt object","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433167","X79.x00","Intentional self-harm by blunt object","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45756452","X82","Intentional self-harm by crashing of motor vehicle","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433173","X82.x00","Intentional self-harm by crashing of motor vehicle","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433172","X82","Intentional self-harm by crashing of motor vehicle","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45561468","X75","Intentional self-harm by explosive material","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433158","X75","Intentional self-harm by explosive material","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433159","X75.x00","Intentional self-harm by explosive material","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433152","X72","Intentional self-harm by handgun discharge","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45756447","X72","Intentional self-harm by handgun discharge","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433153","X72.x00","Intentional self-harm by handgun discharge","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433148","X70","Intentional self-harm by hanging, strangulation and suffocation","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45571181","X70","Intentional self-harm by hanging, strangulation and suffocation","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433149","X70.x00","Intentional self-harm by hanging, strangulation and suffocation","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433169","X80.x00","Intentional self-harm by jumping from a high place","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433168","X80","Intentional self-harm by jumping from a high place","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45590551","X80","Intentional self-harm by jumping from a high place","Observation","ICD10","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45551957","X80.XXXA","Intentional self-harm by jumping from a high place, initial encounter","Observation","ICD10CM","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45576000","X80.XXXD","Intentional self-harm by jumping from a high place, subsequent encounter","Observation","ICD10CM","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","1433171","X81.x00","Intentional self-harm by jumping or lying before moving object","Observation","ICD10CN","N","false","false","false"
"230","Suicide Attempt (SNOMED & ICD)","45547154","X81","Intentional self-harm by jumping or lying before moving object","Observation","ICD10","N","false","false","false"
