"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"230","Suicide Attempt (SNOMED & ICD)","44821473","E957.2","Suicide and self-inflicted injuries by jumping from natural sites","4-dig billing E code","Condition","ICD9CM"
"230","Suicide Attempt (SNOMED & ICD)","44824923","E957.1","Suicide and self-inflicted injuries by jumping from other man-made structures","4-dig billing E code","Condition","ICD9CM"
"230","Suicide Attempt (SNOMED & ICD)","44829558","E957.0","Suicide and self-inflicted injuries by jumping from residential premises","4-dig billing E code","Condition","ICD9CM"
"230","Suicide Attempt (SNOMED & ICD)","45571181","X70","Intentional self-harm by hanging, strangulation and suffocation","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45551949","X74","Intentional self-harm by other and unspecified firearm discharge","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45561468","X75","Intentional self-harm by explosive material","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45551953","X76","Intentional self-harm by smoke, fire and flames","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756449","X77","Intentional self-harm by steam, hot vapours and hot objects","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45590555","X83","Intentional self-harm by other specified means","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756448","X73","Intentional self-harm by rifle, shotgun and larger firearm discharge","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756452","X82","Intentional self-harm by crashing of motor vehicle","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45590551","X80","Intentional self-harm by jumping from a high place","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756451","X79","Intentional self-harm by blunt object","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756447","X72","Intentional self-harm by handgun discharge","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45547154","X81","Intentional self-harm by jumping or lying before moving object","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45585673","X84","Intentional self-harm by unspecified means","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","45756450","X78","Intentional self-harm by sharp object","ICD10 Hierarchy","Observation","ICD10"
"230","Suicide Attempt (SNOMED & ICD)","1326801","T14.91XD","Suicide attempt, subsequent encounter","7-char billing code","Observation","ICD10CM"
"230","Suicide Attempt (SNOMED & ICD)","45541247","T14.91","Suicide attempt","5-char nonbill code","Observation","ICD10CM"
"230","Suicide Attempt (SNOMED & ICD)","45576000","X80.XXXD","Intentional self-harm by jumping from a high place, subsequent encounter","7-char billing code","Observation","ICD10CM"
"230","Suicide Attempt (SNOMED & ICD)","1326800","T14.91XA","Suicide attempt, initial encounter","7-char billing code","Observation","ICD10CM"
"230","Suicide Attempt (SNOMED & ICD)","45551957","X80.XXXA","Intentional self-harm by jumping from a high place, initial encounter","7-char billing code","Observation","ICD10CM"
"230","Suicide Attempt (SNOMED & ICD)","1433174","X83","Intentional self-harm by other specified means","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433169","X80.x00","Intentional self-harm by jumping from a high place","ICD10 code","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433173","X82.x00","Intentional self-harm by crashing of motor vehicle","ICD10 code","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433158","X75","Intentional self-harm by explosive material","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433156","X74","Intentional self-harm by other and unspecified firearm discharge","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433175","X83.x00","Intentional self-harm by other specified means","ICD10 code","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433177","X84.x00","Intentional self-harm by unspecified means","ICD10 code","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433164","X78","Intentional self-harm by sharp object","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433168","X80","Intentional self-harm by jumping from a high place","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433154","X73","Intentional self-harm by rifle, shotgun and larger firearm discharge","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433170","X81","Intentional self-harm by jumping or lying before moving object","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433160","X76","Intentional self-harm by smoke, fire and flames","ICD10 Hierarchy","Observation","ICD10CN"
"230","Suicide Attempt (SNOMED & ICD)","1433172","X82","Intentional self-harm by crashing of motor vehicle","ICD10 Hierarchy","Observation","ICD10CN"
