DOMAIN,ID,TOKEN
DEPRESSIVE,1410659,atypical depression (machine translation)
DEPRESSIVE,44832235,atypical depressive disorder
DEPRESSIVE,1410662,depression (machine translation)
DEPRESSIVE,44833421,"depressive disorder, not elsewhere classified"
DEPRESSIVE,45595904,depressive episode
DEPRESSIVE,1410646,depressive episode
DEPRESSIVE,1410660,"depressive episode, unspecified"
DEPRESSIVE,45571760,"depressive episode, unspecified"
DEPRESSIVE,1410661,"depressive episode, unspecified"
DEPRESSIVE,37200321,disruptive mood dysregulation disorder
DEPRESSIVE,1410685,dysthymia
DEPRESSIVE,45586238,dysthymia
DEPRESSIVE,1410684,dysthymia
DEPRESSIVE,35207163,dysthymic disorder
DEPRESSIVE,44836972,dysthymic disorder
DEPRESSIVE,44827656,"major depressive affective disorder, recurrent episode, in full remission"
DEPRESSIVE,44834589,"major depressive affective disorder, recurrent episode, in partial or unspecified remission"
DEPRESSIVE,44829923,"major depressive affective disorder, recurrent episode, mild"
DEPRESSIVE,44831090,"major depressive affective disorder, recurrent episode, moderate"
DEPRESSIVE,44827655,"major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
DEPRESSIVE,44835785,"major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
DEPRESSIVE,44831089,"major depressive affective disorder, recurrent episode, unspecified"
DEPRESSIVE,44832232,"major depressive affective disorder, single episode, in full remission"
DEPRESSIVE,44822976,"major depressive affective disorder, single episode, in partial or unspecified remission"
DEPRESSIVE,44824114,"major depressive affective disorder, single episode, mild"
DEPRESSIVE,44827654,"major depressive affective disorder, single episode, moderate"
DEPRESSIVE,44820717,"major depressive affective disorder, single episode, severe, specified as with psychotic behavior"
DEPRESSIVE,44835784,"major depressive affective disorder, single episode, severe, without mention of psychotic behavior"
DEPRESSIVE,44822975,"major depressive affective disorder, single episode, unspecified"
DEPRESSIVE,1568218,"major depressive disorder, recurrent"
DEPRESSIVE,44825293,"major depressive disorder, recurrent episode"
DEPRESSIVE,45571761,"major depressive disorder, recurrent, in full remission"
DEPRESSIVE,45552479,"major depressive disorder, recurrent, in partial remission"
DEPRESSIVE,1568219,"major depressive disorder, recurrent, in remission"
DEPRESSIVE,45547706,"major depressive disorder, recurrent, in remission, unspecified"
DEPRESSIVE,35207156,"major depressive disorder, recurrent, mild"
DEPRESSIVE,35207157,"major depressive disorder, recurrent, moderate"
DEPRESSIVE,35207158,"major depressive disorder, recurrent severe without psychotic features"
DEPRESSIVE,35207159,"major depressive disorder, recurrent, severe with psychotic symptoms"
DEPRESSIVE,35207161,"major depressive disorder, recurrent, unspecified"
DEPRESSIVE,44821821,"major depressive disorder, single episode"
DEPRESSIVE,1568217,"major depressive disorder, single episode"
DEPRESSIVE,45547704,"major depressive disorder, single episode, in full remission"
DEPRESSIVE,45576541,"major depressive disorder, single episode, in partial remission"
DEPRESSIVE,35207150,"major depressive disorder, single episode, mild"
DEPRESSIVE,35207151,"major depressive disorder, single episode, moderate"
DEPRESSIVE,35207152,"major depressive disorder, single episode, severe without psychotic features"
DEPRESSIVE,35207153,"major depressive disorder, single episode, severe with psychotic features"
DEPRESSIVE,35207155,"major depressive disorder, single episode, unspecified"
DEPRESSIVE,1410658,menopause depression (machine translation)
DEPRESSIVE,45562041,mild depressive episode
DEPRESSIVE,1410647,mild depressive episode
DEPRESSIVE,1410648,mild depressive episode
DEPRESSIVE,1410649,moderate depressive episode
DEPRESSIVE,1410650,moderate depressive episode
